dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
German Credit,0.25,FedAvg-Full,3,0.5079545454545454,0.0078219247559058,0.7571734220633021,0.01825233883595784,0.0476198194399525,0.008609201649872224,0.0312960005596006,0.006014978159513588,0.003632986006171667,8.866455409790076e-05,1.0661440940671154,0.023313431082232026,1.0,0.0,0.8976703703703705,0.008315597926662617
German Credit,0.25,SISA-Retrain,3,0.5,0.0,0.74489769900807,0.012520613061752147,0.052996707272298965,0.008593235678157386,0.11848365325776816,0.002407013393884276,0.0018527219945098667,8.007845274220534e-05,0.5434725298247228,0.006532760310268421,1.0,0.0,0.8740592592592593,0.011374619944690289
German Credit,0.25,FedEraser-proxy,3,0.5121212121212121,0.014164551778615269,0.7538524233338718,0.0194149153539772,0.0541245446637435,0.004956258410969249,0.00013683162871583335,0.0001507305633759403,0.0032780140075676666,0.00025296264380356007,0.9637972770180824,0.1107140620146063,1.0,0.0,0.9018555555555556,0.019022515949618745
German Credit,0.25,FedRecovery-proxy,3,0.5110795454545455,0.014416466124658158,0.760332137077973,0.02036976999258797,0.04798941281218937,0.0039823809646813155,0.04656801079314293,0.0006433023380989098,0.0013858613286477,0.00014738176257210307,0.40617787888959733,0.03265496689250831,1.0,0.0,0.8932962962962963,0.007795849622112347
German Credit,0.25,Starfish-proxy,3,0.5110795454545455,0.014416466124658158,0.7603075478629749,0.020302568211226817,0.048380409401506036,0.003656040742756083,0.041424117565546974,0.00033706641334864764,0.0012463196762837001,0.00011949828197066389,0.3652715656261763,0.02320614102480748,0.9757555555555556,0.002990330237622785,0.6414703703703704,0.058925285465988915
German Credit,0.25,MA-ABE-FU,3,0.5110795454545455,0.014416466124658158,0.7609578642708191,0.020764156669076134,0.048383012130996904,0.0038717485699133725,0.0483460736533571,0.0006625273269678197,0.0014927219987536334,0.0001440648079988131,0.43745963889070233,0.0274921792508961,0.6157407407407407,0.021118719830158846,0.5065222222222222,0.023291595500056897
German Credit,0.25,Oracle-Retrain,3,0.5121212121212121,0.014164551778615269,0.7538554160857419,0.019495920280882685,0.05412780313243404,0.004781354876849277,0.0,0.0,0.003408903013526733,0.00013522776334447018,1.0,0.0,1.0,0.0,0.8959999999999999,0.023054007397552815
German Credit,0.5,FedAvg-Full,3,0.5079545454545454,0.0078219247559058,0.7571734220633021,0.01825233883595784,0.019069174652432633,0.014280938517113803,0.0506961038272426,0.0022999901727017106,0.003632986006171667,8.866455409790076e-05,1.0571179878393504,0.0227963965636554,1.0,0.0,0.9047555555555555,0.01353490202913455
German Credit,0.5,SISA-Retrain,3,0.5,0.0,0.7460148954743625,0.02031483828910228,0.02561802910758207,0.01132133865252482,0.12239930759493318,0.0024189576948587324,0.0018594446689044997,1.5549243849777288e-05,0.5410671097518241,0.002071194678173283,1.0,0.0,0.9033592592592593,0.0060918681239875115
German Credit,0.5,FedEraser-proxy,3,0.5037878787878788,0.007424242424242417,0.7568475243446109,0.028202411981493133,0.023021807843842168,0.017304480758184915,0.00015167277877316666,0.00019518445051389116,0.003188583330484067,0.00021889226231226107,0.9280546696096296,0.06951275621117556,1.0,0.0,0.8922444444444445,0.00967612424195136
