dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
German Credit,0.25,FedAvg-Full,3,0.5079545454545454,0.0078219247559058,0.7571734220633021,0.01825233883595784,0.04761981943995256,0.008609201649872224,0.03129600055960063,0.006014978159513614,0.003632986006171753,8.866455409789851e-05,1.0661440940671154,0.023313431082232026,1.0,0.0,0.8824703703703703,0.02879094246498278
German Credit,0.25,SISA-Retrain,3,0.5,0.0,0.74489769900807,0.012520613061752147,0.052996707272299014,0.008593235678157356,0.11848365325776822,0.0024070133938842494,0.0018527219945099205,8.007845274219564e-05,0.5434725298247228,0.006532760310268421,1.0,0.0,0.8910703703703704,0.021249060867297474
German Credit,0.25,FedEraser-proxy,3,0.5121212121212121,0.014164551778615269,0.7538524233338718,0.0194149153539772,0.054124544663743536,0.00495625841096926,0.00013683162871585414,0.00015073056337596335,0.0032780140075677386,0.0002529626438035805,0.9637972770180823,0.11071406201460617,1.0,0.0,0.8845740740740741,0.028395060965453557
German Credit,0.25,FedRecovery-proxy,3,0.5110795454545455,0.014416466124658158,0.760332137077973,0.02036976999258797,0.047989412812189415,0.0039823809646812956,0.046568010793142996,0.0006433023380988608,0.0013858613286477823,0.00014738176257212486,0.4061778788895974,0.03265496689250832,1.0,0.0,0.9058592592592593,0.011086338744349193
German Credit,0.25,Starfish-proxy,3,0.5110795454545455,0.014416466124658158,0.7603075478629749,0.020302568211226817,0.048380409401506064,0.003656040742756098,0.041424117565547,0.0003370664133486756,0.001246319676283747,0.00011949828197063518,0.3652715656261763,0.02320614102480746,0.9747185185185185,0.009707909757375111,0.6438,0.04449652126190904
German Credit,0.25,MA-ABE-FU,3,0.5110795454545455,0.014416466124658158,0.7609578642708191,0.020764156669076134,0.04838301213099696,0.0038717485699133326,0.04834607365335716,0.0006625273269678034,0.001492721998753647,0.0001440648079988122,0.43745963889070233,0.02749217925089608,0.6109074074074073,0.021802305101573816,0.514537037037037,0.028949715683325897
German Credit,0.25,Oracle-Retrain,3,0.5121212121212121,0.014164551778615269,0.7538554160857419,0.019495920280882685,0.054127803132434114,0.00478135487684927,0.0,0.0,0.0034089030135267726,0.00013522776334448677,1.0,0.0,1.0,0.0,0.8818777777777779,0.009186256297164868
German Credit,0.5,FedAvg-Full,3,0.5079545454545454,0.0078219247559058,0.7571734220633021,0.01825233883595784,0.019069174652432703,0.014280938517113824,0.050696103827242635,0.0022999901727016577,0.003632986006171753,8.866455409789851e-05,1.0571179878393504,0.0227963965636554,1.0,0.0,0.8930888888888889,0.009850491165293794
German Credit,0.5,SISA-Retrain,3,0.5,0.0,0.7460148954743625,0.02031483828910228,0.025618029107582114,0.011321338652524817,0.12239930759493327,0.0024189576948587276,0.0018594446689045678,1.5549243849799497e-05,0.5410671097518241,0.002071194678173283,1.0,0.0,0.9001148148148147,0.016933359312380814
German Credit,0.5,FedEraser-proxy,3,0.5037878787878788,0.007424242424242417,0.7568475243446109,0.028202411981493133,0.023021807843842206,0.017304480758184925,0.00015167277877320382,0.00019518445051393258,0.003188583330484107,0.00021889226231227907,0.9280546696096295,0.0695127562111755,1.0,0.0,0.8914777777777777,0.005205572247097686
